id;lowerFloor;upperFloor
1;42;48
2;43;49
3;44;50
4;45;51
5;46;52
6;47;53
7;95;90
8;95;87
9;90;87
10;96;91
11;96;88
12;91;88
13;97;92
14;97;89
15;92;89
16;98;93
17;99;94
18;8;76
19;65;100
20;148;155
21;148;162
22;148;169
23;155;162
24;155;169
25;162;169
26;149;156
27;149;163
28;149;170
29;156;163
30;156;170
31;163;170
32;150;157
33;150;164
34;150;171
35;157;164
36;157;171
37;164;171
38;151;158
39;151;165
40;151;172
41;158;165
42;158;172
43;165;172
44;152;159
45;152;166
46;152;173
47;159;166
48;159;173
49;166;173
50;153;160
51;153;167
52;153;174
53;160;167
54;160;174
55;167;174
56;154;161
57;154;168
58;154;175
59;161;168
60;161;175
61;168;175
62;195;215;
63;195;241;
64;195;266;
65;195;290;
66;215;241;
67;215;266;
68;215;290;
69;241;266;
70;241;290;
71;266;290;
72;196;216;
73;196;242;
74;196;267;
75;196;291;
76;216;242;
77;216;267;
78;216;291;
79;242;267;
80;242;291;
81;267;291;
82;197;217;
83;197;243;
84;197;268;
85;197;292;
86;217;243;
87;217;268;
88;217;292;
89;243;268;
90;243;292;
91;268;292;
92;198;218;
93;198;244;
94;198;269;
95;198;293;
96;218;244;
97;218;269;
98;218;293;
99;244;269;
100;244;293;
101;269;293;
102;199;219;
103;199;245;
104;199;270;
105;199;294;
106;219;245;
107;219;270;
108;219;294;
109;245;270;
110;245;294;
111;270;294;
112;200;220;
113;200;246;
114;200;271;
115;200;295;
116;220;246;
117;220;271;
118;220;295;
119;246;271;
120;246;295;
121;271;295;
122;305;319;
123;305;333;
124;305;347;
125;305;361;
126;305;375;
127;305;389;
128;305;403;
129;305;417;
130;319;333;
131;319;347;
132;319;361;
133;319;375;
134;319;389;
135;319;403;
136;319;417;
137;333;347;
138;333;361;
139;333;375;
140;333;389;
141;333;403;
142;333;417;
143;347;361;
144;347;375;
145;347;389;
146;347;403;
147;347;417;
148;361;375;
149;361;389;
150;361;403;
151;361;417;
152;375;389;
153;375;403;
154;375;417;
155;403;417;
156;306;320;
157;306;334;
158;306;348;
159;306;362;
160;306;376;
161;306;390;
162;306;404;
163;306;418;
164;320;334;
165;320;348;
166;320;362;
167;320;376;
168;320;390;
169;320;404;
170;320;418;
171;334;348;
172;334;362;
173;334;376;
174;334;390;
175;334;404;
176;334;418;
177;348;362;
178;348;376;
179;348;390;
180;348;404;
181;348;418;
182;362;376;
183;362;390;
184;362;404;
185;362;418;
186;376;390;
187;376;404;
188;376;418;
189;404;418;
190;307;321;
191;307;335;
192;307;349;
193;307;363;
194;307;377;
195;307;391;
196;307;405;
197;307;419;
198;321;335;
199;321;349;
200;321;363;
201;321;377;
202;321;391;
203;321;405;
204;321;419;
205;335;349;
206;335;363;
207;335;377;
208;335;391;
209;335;405;
210;335;419;
211;349;363;
212;349;377;
213;349;391;
214;349;405;
215;349;419;
216;363;377;
217;363;391;
218;363;405;
219;363;419;
220;377;391;
221;377;405;
222;377;419;
223;405;419;
224;308;322;
225;308;336;
226;308;350;
227;308;364;
228;308;378;
229;308;392;
230;308;406;
231;308;420;
232;322;336;
233;322;350;
234;322;364;
235;322;378;
236;322;392;
237;322;406;
238;322;420;
239;336;350;
240;336;364;
241;336;378;
242;336;392;
243;336;406;
244;336;420;
245;350;364;
246;350;378;
247;350;392;
248;350;406;
249;350;420;
250;364;378;
251;364;392;
252;364;406;
253;364;420;
254;378;392;
255;378;406;
256;378;420;
257;406;420;
258;309;323;
259;309;337;
260;309;351;
261;309;365;
262;309;379;
263;309;393;
264;309;407;
265;309;421;
266;323;337;
267;323;351;
268;323;365;
269;323;379;
270;323;393;
271;323;407;
272;323;421;
273;337;351;
274;337;365;
275;337;379;
276;337;393;
277;337;407;
278;337;421;
279;351;365;
280;351;379;
281;351;393;
282;351;407;
283;351;421;
284;365;379;
285;365;393;
286;365;407;
287;365;421;
288;379;393;
289;379;407;
290;379;421;
291;407;421;
292;310;324;
293;310;338;
294;310;352;
295;310;366;
296;310;380;
297;310;394;
298;310;408;
299;310;422;
300;324;338;
301;324;352;
302;324;366;
303;324;380;
304;324;394;
305;324;408;
306;324;422;
307;338;352;
308;338;366;
309;338;380;
310;338;394;
311;338;408;
312;338;422;
313;352;366;
314;352;380;
315;352;394;
316;352;408;
317;352;422;
318;366;380;
319;366;394;
320;366;408;
321;366;422;
322;380;394;
323;380;408;
324;380;422;
325;408;422;
326;311;325;
327;311;339;
328;311;353;
329;311;367;
330;311;381;
331;311;395;
332;311;409;
333;311;423;
334;325;339;
335;325;353;
336;325;367;
337;325;381;
338;325;395;
339;325;409;
340;325;423;
341;339;353;
342;339;367;
343;339;381;
344;339;395;
345;339;409;
346;339;423;
347;353;367;
348;353;381;
349;353;395;
350;353;409;
351;353;423;
352;367;381;
353;367;395;
354;367;409;
355;367;423;
356;381;395;
357;381;409;
358;381;423;
359;409;423;
360;312;326;
361;312;340;
362;312;354;
363;312;368;
364;312;382;
365;312;396;
366;312;410;
367;312;424;
368;326;340;
369;326;354;
370;326;368;
371;326;382;
372;326;396;
373;326;410;
374;326;424;
375;340;354;
376;340;368;
377;340;382;
378;340;396;
379;340;410;
380;340;424;
381;354;368;
382;354;382;
383;354;396;
384;354;410;
385;354;424;
386;368;382;
387;368;396;
388;368;410;
389;368;424;
390;382;396;
391;382;410;
392;382;424;
393;410;424;
394;313;327;
395;313;341;
396;313;355;
397;313;369;
398;313;383;
399;313;397;
400;313;411;
401;313;425;
402;327;341;
403;327;355;
404;327;369;
405;327;383;
406;327;397;
407;327;411;
408;327;425;
409;341;355;
410;341;369;
411;341;383;
412;341;397;
413;341;411;
414;341;425;
415;355;369;
416;355;383;
417;355;397;
418;355;411;
419;355;425;
420;369;383;
421;369;397;
422;369;411;
423;369;425;
424;383;397;
425;383;411;
426;383;425;
427;411;425;
